"MTU (CET)","Generation - Solar  [MW] Day Ahead/ BZN|BE","Generation - Solar  [MW] Intraday / BZN|BE","Generation - Solar  [MW] Current / BZN|BE","Generation - Wind Offshore  [MW] Day Ahead/ BZN|BE","Generation - Wind Offshore  [MW] Intraday / BZN|BE","Generation - Wind Offshore  [MW] Current / BZN|BE","Generation - Wind Onshore  [MW] Day Ahead/ BZN|BE","Generation - Wind Onshore  [MW] Intraday / BZN|BE","Generation - Wind Onshore  [MW] Current / BZN|BE"
"05.01.2016 19:00 - 05.01.2016 20:00","0","n/e","n/e","291","n/e","n/e","322","n/e","n/e"
"05.01.2016 20:00 - 05.01.2016 21:00","0","n/e","n/e","270","n/e","n/e","327","n/e","n/e"
"05.01.2016 21:00 - 05.01.2016 22:00","0","n/e","n/e","250","n/e","n/e","330","n/e","n/e"
"05.01.2016 22:00 - 05.01.2016 23:00","0","n/e","n/e","232","n/e","n/e","328","n/e","n/e"
"05.01.2016 23:00 - 06.01.2016 00:00","0","n/e","n/e","215","n/e","n/e","322","n/e","n/e"
"06.01.2016 00:00 - 06.01.2016 01:00","0","n/e","n/e","185","n/e","n/e","285","n/e","n/e"
"06.01.2016 01:00 - 06.01.2016 02:00","0","n/e","n/e","167","n/e","n/e","277","n/e","n/e"
"06.01.2016 02:00 - 06.01.2016 03:00","0","n/e","n/e","154","n/e","n/e","264","n/e","n/e"
"06.01.2016 03:00 - 06.01.2016 04:00","0","n/e","n/e","143","n/e","n/e","249","n/e","n/e"
"06.01.2016 04:00 - 06.01.2016 05:00","0","n/e","n/e","131","n/e","n/e","228","n/e","n/e"
"06.01.2016 05:00 - 06.01.2016 06:00","0","n/e","n/e","119","n/e","n/e","205","n/e","n/e"
"06.01.2016 06:00 - 06.01.2016 07:00","0","n/e","n/e","106","n/e","n/e","182","n/e","n/e"
"06.01.2016 07:00 - 06.01.2016 08:00","0","n/e","n/e","91","n/e","n/e","158","n/e","n/e"
"06.01.2016 08:00 - 06.01.2016 09:00","0","n/e","n/e","76","n/e","n/e","134","n/e","n/e"
"06.01.2016 09:00 - 06.01.2016 10:00","35","n/e","n/e","66","n/e","n/e","113","n/e","n/e"
"06.01.2016 10:00 - 06.01.2016 11:00","103","n/e","n/e","60","n/e","n/e","94","n/e","n/e"
"06.01.2016 11:00 - 06.01.2016 12:00","170","n/e","n/e","56","n/e","n/e","79","n/e","n/e"
"06.01.2016 12:00 - 06.01.2016 13:00","192","n/e","n/e","52","n/e","n/e","69","n/e","n/e"
"06.01.2016 13:00 - 06.01.2016 14:00","171","n/e","n/e","47","n/e","n/e","63","n/e","n/e"
"06.01.2016 14:00 - 06.01.2016 15:00","127","n/e","n/e","44","n/e","n/e","61","n/e","n/e"
"06.01.2016 15:00 - 06.01.2016 16:00","63","n/e","n/e","45","n/e","n/e","63","n/e","n/e"
"06.01.2016 16:00 - 06.01.2016 17:00","12","n/e","n/e","52","n/e","n/e","71","n/e","n/e"
"06.01.2016 17:00 - 06.01.2016 18:00","0","n/e","n/e","70","n/e","n/e","84","n/e","n/e"
"06.01.2016 18:00 - 06.01.2016 19:00","0","n/e","n/e","97","n/e","n/e","103","n/e","n/e"
"06.01.2016 19:00 - 06.01.2016 20:00","0","n/e","n/e","120","n/e","n/e","125","n/e","n/e"
"06.01.2016 20:00 - 06.01.2016 21:00","0","n/e","n/e","140","n/e","n/e","150","n/e","n/e"
"06.01.2016 21:00 - 06.01.2016 22:00","0","n/e","n/e","165","n/e","n/e","180","n/e","n/e"
"06.01.2016 22:00 - 06.01.2016 23:00","0","n/e","n/e","198","n/e","n/e","217","n/e","n/e"
"06.01.2016 23:00 - 07.01.2016 00:00","0","n/e","n/e","242","n/e","n/e","259","n/e","n/e"
"07.01.2016 00:00 - 07.01.2016 01:00","0","n/e","n/e","296","n/e","n/e","302","n/e","n/e"
"07.01.2016 01:00 - 07.01.2016 02:00","0","n/e","n/e","351","n/e","n/e","348","n/e","n/e"
"07.01.2016 02:00 - 07.01.2016 03:00","0","n/e","n/e","420","n/e","n/e","401","n/e","n/e"
"07.01.2016 03:00 - 07.01.2016 04:00","0","n/e","n/e","485","n/e","n/e","465","n/e","n/e"
"07.01.2016 04:00 - 07.01.2016 05:00","0","n/e","n/e","531","n/e","n/e","537","n/e","n/e"
"07.01.2016 05:00 - 07.01.2016 06:00","0","n/e","n/e","567","n/e","n/e","613","n/e","n/e"
"07.01.2016 06:00 - 07.01.2016 07:00","0","n/e","n/e","613","n/e","n/e","698","n/e","n/e"
"07.01.2016 07:00 - 07.01.2016 08:00","0","n/e","n/e","663","n/e","n/e","792","n/e","n/e"
"07.01.2016 08:00 - 07.01.2016 09:00","0","n/e","n/e","682","n/e","n/e","882","n/e","n/e"
"07.01.2016 09:00 - 07.01.2016 10:00","16","n/e","n/e","680","n/e","n/e","939","n/e","n/e"
"07.01.2016 10:00 - 07.01.2016 11:00","31","n/e","n/e","640","n/e","n/e","949","n/e","n/e"
"07.01.2016 11:00 - 07.01.2016 12:00","40","n/e","n/e","562","n/e","n/e","912","n/e","n/e"
"07.01.2016 12:00 - 07.01.2016 13:00","44","n/e","n/e","581","n/e","n/e","836","n/e","n/e"
"07.01.2016 13:00 - 07.01.2016 14:00","59","n/e","n/e","642","n/e","n/e","727","n/e","n/e"
"07.01.2016 14:00 - 07.01.2016 15:00","69","n/e","n/e","645","n/e","n/e","683","n/e","n/e"
"07.01.2016 15:00 - 07.01.2016 16:00","35","n/e","n/e","641","n/e","n/e","746","n/e","n/e"
"07.01.2016 16:00 - 07.01.2016 17:00","8","n/e","n/e","639","n/e","n/e","794","n/e","n/e"
"07.01.2016 17:00 - 07.01.2016 18:00","0","n/e","n/e","643","n/e","n/e","773","n/e","n/e"
"07.01.2016 18:00 - 07.01.2016 19:00","0","n/e","n/e","650","n/e","n/e","724","n/e","n/e"
"07.01.2016 19:00 - 07.01.2016 20:00","0","n/e","n/e","654","n/e","n/e","689","n/e","n/e"
"07.01.2016 20:00 - 07.01.2016 21:00","0","n/e","n/e","651","n/e","n/e","681","n/e","n/e"
"07.01.2016 21:00 - 07.01.2016 22:00","0","n/e","n/e","645","n/e","n/e","680","n/e","n/e"
"07.01.2016 22:00 - 07.01.2016 23:00","0","n/e","n/e","637","n/e","n/e","675","n/e","n/e"
"07.01.2016 23:00 - 08.01.2016 00:00","0","n/e","n/e","633","n/e","n/e","664","n/e","n/e"
"08.01.2016 00:00 - 08.01.2016 01:00","0","n/e","n/e","641","n/e","n/e","760","n/e","n/e"
"08.01.2016 01:00 - 08.01.2016 02:00","0","n/e","n/e","632","n/e","n/e","722","n/e","n/e"
"08.01.2016 02:00 - 08.01.2016 03:00","0","n/e","n/e","617","n/e","n/e","677","n/e","n/e"
"08.01.2016 03:00 - 08.01.2016 04:00","0","n/e","n/e","587","n/e","n/e","628","n/e","n/e"
"08.01.2016 04:00 - 08.01.2016 05:00","0","n/e","n/e","534","n/e","n/e","581","n/e","n/e"
"08.01.2016 05:00 - 08.01.2016 06:00","0","n/e","n/e","471","n/e","n/e","541","n/e","n/e"
"08.01.2016 06:00 - 08.01.2016 07:00","0","n/e","n/e","426","n/e","n/e","510","n/e","n/e"
"08.01.2016 07:00 - 08.01.2016 08:00","0","n/e","n/e","409","n/e","n/e","485","n/e","n/e"
"08.01.2016 08:00 - 08.01.2016 09:00","1","n/e","n/e","409","n/e","n/e","463","n/e","n/e"
"08.01.2016 09:00 - 08.01.2016 10:00","141","n/e","n/e","419","n/e","n/e","438","n/e","n/e"
"08.01.2016 10:00 - 08.01.2016 11:00","515","n/e","n/e","427","n/e","n/e","401","n/e","n/e"
"08.01.2016 11:00 - 08.01.2016 12:00","828","n/e","n/e","419","n/e","n/e","354","n/e","n/e"
"08.01.2016 12:00 - 08.01.2016 13:00","1006","n/e","n/e","403","n/e","n/e","306","n/e","n/e"
"08.01.2016 13:00 - 08.01.2016 14:00","985","n/e","n/e","382","n/e","n/e","264","n/e","n/e"
"08.01.2016 14:00 - 08.01.2016 15:00","769","n/e","n/e","357","n/e","n/e","234","n/e","n/e"
"08.01.2016 15:00 - 08.01.2016 16:00","458","n/e","n/e","329","n/e","n/e","220","n/e","n/e"
"08.01.2016 16:00 - 08.01.2016 17:00","74","n/e","n/e","309","n/e","n/e","222","n/e","n/e"
"08.01.2016 17:00 - 08.01.2016 18:00","0","n/e","n/e","298","n/e","n/e","236","n/e","n/e"
"08.01.2016 18:00 - 08.01.2016 19:00","0","n/e","n/e","291","n/e","n/e","252","n/e","n/e"
"08.01.2016 19:00 - 08.01.2016 20:00","0","n/e","n/e","285","n/e","n/e","257","n/e","n/e"
"08.01.2016 20:00 - 08.01.2016 21:00","0","n/e","n/e","276","n/e","n/e","250","n/e","n/e"
"08.01.2016 21:00 - 08.01.2016 22:00","0","n/e","n/e","264","n/e","n/e","236","n/e","n/e"
"08.01.2016 22:00 - 08.01.2016 23:00","0","n/e","n/e","244","n/e","n/e","220","n/e","n/e"
"08.01.2016 23:00 - 09.01.2016 00:00","0","n/e","n/e","222","n/e","n/e","208","n/e","n/e"
"09.01.2016 00:00 - 09.01.2016 01:00","0","n/e","n/e","226","n/e","n/e","231","n/e","n/e"
"09.01.2016 01:00 - 09.01.2016 02:00","0","n/e","n/e","218","n/e","n/e","225","n/e","n/e"
"09.01.2016 02:00 - 09.01.2016 03:00","0","n/e","n/e","215","n/e","n/e","217","n/e","n/e"
"09.01.2016 03:00 - 09.01.2016 04:00","0","n/e","n/e","218","n/e","n/e","218","n/e","n/e"
"09.01.2016 04:00 - 09.01.2016 05:00","0","n/e","n/e","226","n/e","n/e","227","n/e","n/e"
"09.01.2016 05:00 - 09.01.2016 06:00","0","n/e","n/e","243","n/e","n/e","244","n/e","n/e"
"09.01.2016 06:00 - 09.01.2016 07:00","0","n/e","n/e","268","n/e","n/e","265","n/e","n/e"
"09.01.2016 07:00 - 09.01.2016 08:00","0","n/e","n/e","297","n/e","n/e","286","n/e","n/e"
"09.01.2016 08:00 - 09.01.2016 09:00","0","n/e","n/e","332","n/e","n/e","306","n/e","n/e"
"09.01.2016 09:00 - 09.01.2016 10:00","52","n/e","n/e","373","n/e","n/e","327","n/e","n/e"
"09.01.2016 10:00 - 09.01.2016 11:00","123","n/e","n/e","423","n/e","n/e","349","n/e","n/e"
"09.01.2016 11:00 - 09.01.2016 12:00","184","n/e","n/e","473","n/e","n/e","371","n/e","n/e"
"09.01.2016 12:00 - 09.01.2016 13:00","227","n/e","n/e","510","n/e","n/e","393","n/e","n/e"
"09.01.2016 13:00 - 09.01.2016 14:00","227","n/e","n/e","531","n/e","n/e","412","n/e","n/e"
"09.01.2016 14:00 - 09.01.2016 15:00","177","n/e","n/e","544","n/e","n/e","433","n/e","n/e"
"09.01.2016 15:00 - 09.01.2016 16:00","93","n/e","n/e","559","n/e","n/e","467","n/e","n/e"
"09.01.2016 16:00 - 09.01.2016 17:00","20","n/e","n/e","580","n/e","n/e","522","n/e","n/e"
"09.01.2016 17:00 - 09.01.2016 18:00","0","n/e","n/e","607","n/e","n/e","595","n/e","n/e"
"09.01.2016 18:00 - 09.01.2016 19:00","0","n/e","n/e","634","n/e","n/e","675","n/e","n/e"
"09.01.2016 19:00 - 09.01.2016 20:00","0","n/e","n/e","655","n/e","n/e","751","n/e","n/e"
"09.01.2016 20:00 - 09.01.2016 21:00","0","n/e","n/e","667","n/e","n/e","817","n/e","n/e"
"09.01.2016 21:00 - 09.01.2016 22:00","0","n/e","n/e","672","n/e","n/e","878","n/e","n/e"
"09.01.2016 22:00 - 09.01.2016 23:00","0","n/e","n/e","673","n/e","n/e","935","n/e","n/e"
